----------------------------------------
Begin PBS Prologue Fri Jan 27 17:58:30 EST 2017 1485557910
Job ID:		77167962.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		aw-4r14-n26
End PBS Prologue Fri Jan 27 17:58:30 EST 2017 1485557910
----------------------------------------
Unsteady: 10000, 1.000000, 0, 0, vanleer, 0.200000, 0.200000, 1
setup: Selected Van Leer flux
Euler1dExplicit: Using 1-stage TVD RK scheme; loaded coefficients.
Euler1dExplicit: run(): Step 0 - Time = 0.000000
Euler1dExplicit: run(): Step 10 - Time = 0.000148
Euler1dExplicit: run(): Step 20 - Time = 0.000284
Euler1dExplicit: run(): Step 30 - Time = 0.000416
Euler1dExplicit: run(): Step 40 - Time = 0.000547
Euler1dExplicit: run(): Step 50 - Time = 0.000676
Euler1dExplicit: run(): Step 60 - Time = 0.000806
Euler1dExplicit: run(): Step 70 - Time = 0.000936
Euler1dExplicit: run(): Step 80 - Time = 0.001066
Euler1dExplicit: run(): Step 90 - Time = 0.001196
Euler1dExplicit: run(): Step 100 - Time = 0.001326
Euler1dExplicit: run(): Step 110 - Time = 0.001456
Euler1dExplicit: run(): Step 120 - Time = 0.001586
Euler1dExplicit: run(): Step 130 - Time = 0.001716
Euler1dExplicit: run(): Step 140 - Time = 0.001846
Euler1dExplicit: run(): Step 150 - Time = 0.001975
Euler1dExplicit: run(): Step 160 - Time = 0.002105
Euler1dExplicit: run(): Step 170 - Time = 0.002235
Euler1dExplicit: run(): Step 180 - Time = 0.002365
Euler1dExplicit: run(): Step 190 - Time = 0.002495
Euler1dExplicit: run(): Step 200 - Time = 0.002625
Euler1dExplicit: run(): Step 210 - Time = 0.002755
Euler1dExplicit: run(): Step 220 - Time = 0.002885
Euler1dExplicit: run(): Step 230 - Time = 0.003015
Euler1dExplicit: run(): Step 240 - Time = 0.003145
Euler1dExplicit: run(): Step 250 - Time = 0.003274
Euler1dExplicit: run(): Step 260 - Time = 0.003404
Euler1dExplicit: run(): Step 270 - Time = 0.003534
Euler1dExplicit: run(): Step 280 - Time = 0.003664
Euler1dExplicit: run(): Step 290 - Time = 0.003794
Euler1dExplicit: run(): Step 300 - Time = 0.003924
Euler1dExplicit: run(): Step 310 - Time = 0.004054
Euler1dExplicit: run(): Step 320 - Time = 0.004184
Euler1dExplicit: run(): Step 330 - Time = 0.004314
Euler1dExplicit: run(): Step 340 - Time = 0.004444
Euler1dExplicit: run(): Step 350 - Time = 0.004573
Euler1dExplicit: run(): Step 360 - Time = 0.004703
Euler1dExplicit: run(): Step 370 - Time = 0.004833
Euler1dExplicit: run(): Step 380 - Time = 0.004963
Euler1dExplicit: run(): Step 390 - Time = 0.005093
Euler1dExplicit: run(): Step 400 - Time = 0.005223
Euler1dExplicit: run(): Step 410 - Time = 0.005353
Euler1dExplicit: run(): Step 420 - Time = 0.005483
Euler1dExplicit: run(): Step 430 - Time = 0.005613
Euler1dExplicit: run(): Step 440 - Time = 0.005743
Euler1dExplicit: run(): Step 450 - Time = 0.005872
Euler1dExplicit: run(): Step 460 - Time = 0.006002
Euler1dExplicit: run(): Step 470 - Time = 0.006132
Euler1dExplicit: run(): Step 480 - Time = 0.006262
Euler1dExplicit: run(): Step 490 - Time = 0.006392
Euler1dExplicit: run(): Step 500 - Time = 0.006522
Euler1dExplicit: run(): Step 510 - Time = 0.006652
Euler1dExplicit: run(): Step 520 - Time = 0.006782
Euler1dExplicit: run(): Step 530 - Time = 0.006912
Euler1dExplicit: run(): Step 540 - Time = 0.007041
Euler1dExplicit: run(): Step 550 - Time = 0.007171
Euler1dExplicit: run(): Step 560 - Time = 0.007301
Euler1dExplicit: run(): Step 570 - Time = 0.007431
Euler1dExplicit: run(): Step 580 - Time = 0.007561
Euler1dExplicit: run(): Step 590 - Time = 0.007691
Euler1dExplicit: run(): Step 600 - Time = 0.007821
Euler1dExplicit: run(): Step 610 - Time = 0.007951
Euler1dExplicit: run(): Step 620 - Time = 0.008081
Euler1dExplicit: run(): Step 630 - Time = 0.008211
Euler1dExplicit: run(): Step 640 - Time = 0.008340
Euler1dExplicit: run(): Step 650 - Time = 0.008470
Euler1dExplicit: run(): Step 660 - Time = 0.008600
Euler1dExplicit: run(): Step 670 - Time = 0.008730
Euler1dExplicit: run(): Step 680 - Time = 0.008860
Euler1dExplicit: run(): Step 690 - Time = 0.008990
Euler1dExplicit: run(): Step 700 - Time = 0.009120
Euler1dExplicit: run(): Step 710 - Time = 0.009250
Euler1dExplicit: run(): Step 720 - Time = 0.009380
Euler1dExplicit: run(): Step 730 - Time = 0.009510
Euler1dExplicit: run(): Step 740 - Time = 0.009639
Euler1dExplicit: run(): Step 750 - Time = 0.009769
Euler1dExplicit: run(): Step 760 - Time = 0.009899
Euler1dExplicit: run(): Step 770 - Time = 0.010029
Euler1dExplicit: run(): Step 780 - Time = 0.010159
Euler1dExplicit: run(): Step 790 - Time = 0.010289
Euler1dExplicit: run(): Step 800 - Time = 0.010419
Euler1dExplicit: run(): Step 810 - Time = 0.010549
Euler1dExplicit: run(): Step 820 - Time = 0.010679
Euler1dExplicit: run(): Step 830 - Time = 0.010809
Euler1dExplicit: run(): Step 840 - Time = 0.010938
Euler1dExplicit: run(): Step 850 - Time = 0.011068
Euler1dExplicit: run(): Step 860 - Time = 0.011198
