----------------------------------------
Begin PBS Prologue Fri Jan 27 19:45:02 EST 2017 1485564302
Job ID:		77173546.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		aw-4r14-n19
End PBS Prologue Fri Jan 27 19:45:02 EST 2017 1485564302
----------------------------------------
Unsteady: 100000, 1.000000, 0, 0, vanleer, 0.200000, 0.200000, 1
setup: Selected Van Leer flux
Euler1dExplicit: Using 1-stage TVD RK scheme; loaded coefficients.
Euler1dExplicit: run(): Step 0 - Time = 0.000000
Euler1dExplicit: run(): Step 10 - Time = 0.000015
Euler1dExplicit: run(): Step 20 - Time = 0.000028
Euler1dExplicit: run(): Step 30 - Time = 0.000042
Euler1dExplicit: run(): Step 40 - Time = 0.000055
Euler1dExplicit: run(): Step 50 - Time = 0.000068
Euler1dExplicit: run(): Step 60 - Time = 0.000081
Euler1dExplicit: run(): Step 70 - Time = 0.000094
Euler1dExplicit: run(): Step 80 - Time = 0.000107
Euler1dExplicit: run(): Step 90 - Time = 0.000120
Euler1dExplicit: run(): Step 100 - Time = 0.000133
Euler1dExplicit: run(): Step 110 - Time = 0.000146
Euler1dExplicit: run(): Step 120 - Time = 0.000159
Euler1dExplicit: run(): Step 130 - Time = 0.000172
Euler1dExplicit: run(): Step 140 - Time = 0.000185
Euler1dExplicit: run(): Step 150 - Time = 0.000198
Euler1dExplicit: run(): Step 160 - Time = 0.000211
Euler1dExplicit: run(): Step 170 - Time = 0.000224
Euler1dExplicit: run(): Step 180 - Time = 0.000237
Euler1dExplicit: run(): Step 190 - Time = 0.000250
Euler1dExplicit: run(): Step 200 - Time = 0.000262
Euler1dExplicit: run(): Step 210 - Time = 0.000275
Euler1dExplicit: run(): Step 220 - Time = 0.000288
Euler1dExplicit: run(): Step 230 - Time = 0.000301
Euler1dExplicit: run(): Step 240 - Time = 0.000314
Euler1dExplicit: run(): Step 250 - Time = 0.000327
Euler1dExplicit: run(): Step 260 - Time = 0.000340
Euler1dExplicit: run(): Step 270 - Time = 0.000353
Euler1dExplicit: run(): Step 280 - Time = 0.000366
Euler1dExplicit: run(): Step 290 - Time = 0.000379
Euler1dExplicit: run(): Step 300 - Time = 0.000392
Euler1dExplicit: run(): Step 310 - Time = 0.000405
Euler1dExplicit: run(): Step 320 - Time = 0.000418
Euler1dExplicit: run(): Step 330 - Time = 0.000431
Euler1dExplicit: run(): Step 340 - Time = 0.000444
Euler1dExplicit: run(): Step 350 - Time = 0.000457
Euler1dExplicit: run(): Step 360 - Time = 0.000470
Euler1dExplicit: run(): Step 370 - Time = 0.000483
Euler1dExplicit: run(): Step 380 - Time = 0.000496
Euler1dExplicit: run(): Step 390 - Time = 0.000509
Euler1dExplicit: run(): Step 400 - Time = 0.000522
Euler1dExplicit: run(): Step 410 - Time = 0.000535
Euler1dExplicit: run(): Step 420 - Time = 0.000548
Euler1dExplicit: run(): Step 430 - Time = 0.000561
Euler1dExplicit: run(): Step 440 - Time = 0.000574
Euler1dExplicit: run(): Step 450 - Time = 0.000587
Euler1dExplicit: run(): Step 460 - Time = 0.000600
Euler1dExplicit: run(): Step 470 - Time = 0.000613
Euler1dExplicit: run(): Step 480 - Time = 0.000626
Euler1dExplicit: run(): Step 490 - Time = 0.000639
Euler1dExplicit: run(): Step 500 - Time = 0.000652
Euler1dExplicit: run(): Step 510 - Time = 0.000665
Euler1dExplicit: run(): Step 520 - Time = 0.000678
